FilePath,Severity,Control name,Failed resources,All Resources,Compliance score
project-yamls,High,Forbidden Container Registries,0,385,0.0
project-yamls,Medium,Non-root containers,379,385,1.5584415
project-yamls,Medium,Allow privilege escalation,283,386,26.683939
project-yamls,Medium,Administrative Roles,22,914,97.592995
project-yamls,High,HostNetwork access,12,385,96.88312
project-yamls,Low,SSH server running inside container,0,27,100.0
project-yamls,Medium,Access container service account,688,689,0.14513788
project-yamls,High,Privileged container,18,385,95.32468
project-yamls,Low,PSP enabled,0,0,100.0
project-yamls,Medium,Ensure that all Namespaces have Network Policies defined,31,31,0.0
project-yamls,Medium,Prefer using secrets as files over secrets as environment variables,12,385,96.88312
project-yamls,High,Avoid use of system:masters group,0,0,0.0
project-yamls,Medium,Missing network policy,338,589,42.6146
